mql_id,first_contact_date,origin,won_date,converted,business_segment,lead_type,lead_behaviour_profile,has_company,has_gtin,average_stock,declared_product_catalog_size,declared_monthly_revenue,missing_fields_count,readiness_score,friction_score,completeness_level,behaviour_profile_clean
dac32acd4db4c29c230538b72f8dd87d,2001-02-18,social,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
8c18d1de7f67e60dbd64e3c07d7e9d5d,2020-10-17,paid_search,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
b4bc852d233dfefc5131f593b538befa,2022-03-18,organic_search,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
6be030b81c75970747525b843c1ef4f8,2022-01-18,email,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
5420aad7fec3549a85876ba1c529bd84,2021-02-18,organic_search,2026-02-18,1,pet,online_medium,cat,0,0,0,0,0,4,0,4,LOW_COMPLETENESS,cat
28bdfd5f057764b54c38770f95c69f2f,2014-01-18,organic_search,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
126a0d10becbaafcb2e72ce6848cf32c,2015-05-18,email,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
f76136f54d14a3345951f25b7932366b,2024-05-18,email,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
2f838cade4a6012a6cb1016d1d8d95ed,2010-11-17,organic_search,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
7281942387a1a0c3f72a50a8b0bb0920,2025-12-17,social,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,4,LOW_COMPLETENESS,UNKNOWN
